air_basin,burn_day_decision_code,date,description
North Coast High,F,1/1/2020,Fair
North Coast Low,B,1/1/2020,Permissive Burn Day Decision 
Lake County  ,B,1/1/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/1/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/1/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/1/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/1/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/1/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/1/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/1/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,1/1/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/1/2020,Permissive Burn Day Decision 
South Central Coast High,B,1/1/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,1/1/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/1/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/1/2020,Permissive Burn Day Decision 
South Coast,NB,1/1/2020,No-Burn Day Decision
San Diego West High,B,1/1/2020,Permissive Burn Day Decision 
San Diego West Low,B,1/1/2020,Permissive Burn Day Decision 
Mojave Desert,B,1/1/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/1/2020,Permissive Burn Day Decision 
Sacramento Valley High,F,1/1/2020,Fair
Sacramento Valley Low,2,1/1/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/1/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,1/1/2020,Fair
Mountain Counties North,F,1/1/2020,Fair
Mountain Counties South,F,1/1/2020,Fair
Lake Tahoe,B,1/1/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/1/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/1/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/1/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/1/2020,
North Coast High,F,1/2/2020,Fair
North Coast Low,B,1/2/2020,Permissive Burn Day Decision 
Lake County  ,B,1/2/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/2/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/2/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/2/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/2/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/2/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/2/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/2/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,1/2/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/2/2020,Permissive Burn Day Decision 
South Central Coast High,B,1/2/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,1/2/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/2/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/2/2020,Permissive Burn Day Decision 
South Coast,B,1/2/2020,Permissive Burn Day Decision 
San Diego West High,B,1/2/2020,Permissive Burn Day Decision 
San Diego West Low,B,1/2/2020,Permissive Burn Day Decision 
Mojave Desert,B,1/2/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/2/2020,Permissive Burn Day Decision 
Sacramento Valley High,F,1/2/2020,Fair
Sacramento Valley Low,2,1/2/2020,"The Number of Acres Allocated (in 1,000's)"
